,age-group,better-ideas-with-inspirations,fulltext-feedback,gender,inspirations-were-distracting,inspirations-were-diverse,request-timing,satisfied-with-inspirations,session1_brainstormingSessionId,session1_ideatorType,session1_numberOfRequests,session1_numberOfSessionBlurred,session1_numberOfSubmits,session2_brainstormingSessionId,session2_condition,session2_numberOfRequests,session2_numberOfSessionBlurred,session2_numberOfSubmits,tlx-effort,tlx-frustration,tlx-mental,tlx-performance,tlx-temporal,novelty_max,value_max,novelty_min,value_min,novelty_mean,value_mean
36,25 - 34 years old,3.0,,m,5.0,1.0,out-of-ideas|before|in-the-middle,2.0,13,UNDETERMINED,4,8,12,,,,,,5.0,2.0,5.0,2.0,3.0,,,,,,
37,25 - 34 years old,1.0,,m,5.0,1.0,out-of-ideas|in-the-middle,1.0,180,UNDETERMINED,2,1,4,,,,,,6.0,2.0,5.0,3.0,2.0,,,,,,
38,45 - 54 years old,4.0,I don't really have any. ,m,1.0,4.0,out-of-ideas|before|in-the-middle,4.0,181,SEEKER,6,0,6,182,on-idle,4.0,0.0,8.0,6.0,3.0,7.0,2.0,4.0,0.734960672629831,1.387848839835363,-0.079111409048902,-0.7599291037727851,0.31822991789155075,0.32822280883385624
39,45 - 54 years old,2.0,"This was pretty fun. Thanks! When you publish, I would love to see a link to the finished paper so I could see some of other ideas.",f,5.0,3.0,out-of-ideas|before,3.0,183,SEEKER,8,0,5,185,baseline,0.0,1.0,7.0,6.0,1.0,6.0,3.0,2.0,0.7905011555205951,0.390846596765594,0.045826384897749005,-1.122360276533444,0.32264559054765174,-0.1283761970321938
40,25 - 34 years old,3.0,,f,5.0,1.0,out-of-ideas,1.0,184,AVOIDER,1,0,7,186,on-demand,3.0,0.0,15.0,5.0,2.0,4.0,3.0,2.0,0.8498572726768071,0.7760358374005281,-1.024452207451036,-1.8935100597242631,-0.32814417730429746,-0.3546579620582542
41,25 - 34 years old,2.0,,m,5.0,2.0,out-of-ideas|before,2.0,188,SEEKER,12,1,9,189,on-demand,9.0,3.0,6.0,4.0,2.0,4.0,3.0,2.0,0.74458102498482,0.75209337776086,-1.382556829317681,-0.9121998360553991,-0.31640631182736817,-0.24368182700553434
42,55 - 64 years old,1.0,,f,4.0,1.0,out-of-ideas,1.0,194,AVOIDER,1,0,3,196,on-idle,14.0,0.0,10.0,6.0,2.0,5.0,2.0,5.0,0.343338085817516,0.594744255718069,-1.655996760995881,-1.374557254140734,-0.38712225215126705,-0.3240967400180591
43,55 - 64 years old,5.0,"I spent a good amount of time "" brainstorming"" so that ate up some clock time.",f,4.0,5.0,out-of-ideas|before,1.0,193,UNMOTIVATED,3,0,2,,,,,,5.0,5.0,6.0,3.0,5.0,,,,,,
44,35 - 44 years old,3.0,"It was a tough task especially with a timer , I felt a lot pressure to come up with as many new ideas as possible.  I felt it was really tough to be imaginative with the pressure. ",m,4.0,2.0,in-the-middle,3.0,197,UNMOTIVATED,1,2,1,,,,,,5.0,6.0,7.0,5.0,6.0,,,,,,
45,25 - 34 years old,4.0,,unknown,2.0,4.0,out-of-ideas|in-the-middle,4.0,200,SEEKER,8,7,5,201,baseline,0.0,24.0,7.0,5.0,3.0,5.0,3.0,3.0,0.9246104332967311,0.886568329860119,-0.27050984765776503,-0.5499908023761351,0.14887973874051771,-0.011670224343182165
46,25 - 34 years old,1.0,This seems like a fantastic tool actually. I was a little surprised in just how good the suggestions that I saw were. I wish I had chosen to view them sooner,m,5.0,1.0,out-of-ideas,1.0,203,UNDETERMINED,2,0,5,,,,,,7.0,3.0,7.0,5.0,6.0,,,,,,
47,25 - 34 years old,4.0,,m,3.0,4.0,out-of-ideas|before,3.0,204,SEEKER,12,1,3,206,on-demand,8.0,13.0,3.0,4.0,4.0,5.0,5.0,4.0,0.42062473774430503,0.448287674040072,-0.227297992440666,0.22655425554100903,0.1555884603120957,0.33497108077590704
48,35 - 44 years old,2.0,Thanks for the opportunity.,m,5.0,3.0,out-of-ideas,2.0,205,AVOIDER,1,0,8,207,baseline,0.0,0.0,12.0,6.0,1.0,6.0,3.0,2.0,0.8934098905560911,1.171204083083682,-1.053536730405223,-1.317327341465879,0.21563300934300947,0.021164897285519332
49,45 - 54 years old,3.0,This was a ton of fun to do. Thank you so much for such an interesting HIT. I found the ideas came easily.,f,5.0,3.0,did-not,3.0,208,AVOIDER,0,0,6,210,on-demand,0.0,0.0,2.0,7.0,2.0,6.0,2.0,3.0,0.591239849778031,0.512621870925243,0.160438618504224,-0.357127697415681,0.3758392341411275,0.07774708675478101
50,55 - 64 years old,2.0,"I hope this was done fine, thanks for letting me do the study.",f,5.0,1.0,in-the-middle,2.0,211,UNDETERMINED,4,0,4,,,,,,7.0,4.0,5.0,2.0,5.0,,,,,,
51,35 - 44 years old,3.0,,f,4.0,3.0,before,2.0,213,UNMOTIVATED,5,0,2,,,,,,4.0,2.0,4.0,3.0,4.0,,,,,,
52,18 - 24 years old,5.0,,f,5.0,3.0,did-not,3.0,214,AVOIDER,0,0,15,215,on-idle,0.0,1.0,25.0,3.0,2.0,6.0,2.0,2.0,0.9014379809203931,1.303542989205073,-1.3259808406060731,-1.432349942474835,-0.1464570539561712,-0.17713746197422187
53,25 - 34 years old,3.0,"Everything was fine, i tried to put in as many unique ideas as a could with a description on purpose.  that takes extra time, if i didn't have to do that i could have come up with a lot more.",m,2.0,4.0,out-of-ideas,4.0,217,SEEKER,20,0,5,219,on-idle,1.0,0.0,10.0,7.0,3.0,7.0,1.0,7.0,0.8819501949736691,1.222402395495842,-1.3217977842461401,-1.167362626354919,-0.053494857470451816,-0.2301700434194945
54,55 - 64 years old,2.0,"I tried to get creative, hopefully there is something there.",unknown,5.0,4.0,before,1.0,218,AVOIDER,1,0,15,220,baseline,0.0,0.0,18.0,7.0,2.0,7.0,2.0,1.0,1.347727453641665,0.35888162025297804,-0.9089954308518421,-0.832899286267283,-0.05735173963215182,-0.24701132472615508
55,65 - 75 years old,3.0,,unknown,4.0,1.0,in-the-middle,2.0,221,UNDETERMINED,4,1,3,,,,,,6.0,2.0,6.0,2.0,2.0,,,,,,
56,25 - 34 years old,2.0,,f,5.0,1.0,out-of-ideas,1.0,15,SEEKER,6,0,8,17,baseline,0.0,2.0,7.0,5.0,2.0,4.0,3.0,4.0,0.701599388384573,0.8975530285349491,-0.40664932064907705,-0.09878421201480801,0.18033491334766014,0.3385741392377829
57,35 - 44 years old,1.0,"It was certainly an interesting project.  Mturk could definitely use more of these.  There aren't that many projects that don't just force me to think, but also don't repeat every single question at least five times.  So yeah, this was a great HIT.",m,5.0,1.0,out-of-ideas|before,1.0,231,UNDETERMINED,2,0,6,,,,,,7.0,1.0,4.0,3.0,4.0,,,,,,
58,25 - 34 years old,2.0,,m,5.0,1.0,out-of-ideas|before,2.0,225,SEEKER,32,1,4,226,baseline,0.0,8.0,5.0,7.0,5.0,6.0,4.0,5.0,0.463662368860554,0.34126026552195804,-0.7503871469340331,-0.6645017385116301,-0.11195814731418681,-0.181229221459046
59,25 - 34 years old,2.0,,m,4.0,2.0,before,2.0,16,UNDETERMINED,2,0,3,,,,,,6.0,2.0,5.0,3.0,6.0,,,,,,
60,25 - 34 years old,2.0,I did my best with this.,m,5.0,2.0,did-not,2.0,229,UNMOTIVATED,0,0,2,,,,,,7.0,7.0,7.0,5.0,1.0,,,,,,
61,25 - 34 years old,2.0,,m,5.0,3.0,before,1.0,233,SEEKER,10,2,4,236,on-idle,6.0,6.0,6.0,6.0,1.0,6.0,3.0,2.0,0.973676402603948,1.15231650353095,0.145047760751704,0.46266277021940205,0.5723082537184598,0.9294136478133587
62,25 - 34 years old,1.0,"Interesting HIT, thank you!",f,5.0,1.0,out-of-ideas|before,1.0,237,UNDETERMINED,3,0,6,,,,,,6.0,1.0,6.0,2.0,1.0,,,,,,
63,25 - 34 years old,3.0,n/a,m,2.0,1.0,before,2.0,19,SEEKER,79,0,4,20,on-demand,58.0,2.0,8.0,4.0,4.0,4.0,4.0,4.0,0.176656757843173,1.025206807077551,-0.538423034727195,-0.732751681701261,-0.14876168620348537,-0.0039938979728274815
64,35 - 44 years old,2.0,"That went well, thank you.",f,5.0,2.0,out-of-ideas|before,1.0,238,SEEKER,7,0,16,240,baseline,0.0,0.0,20.0,6.0,2.0,6.0,2.0,4.0,0.28152917627997204,1.108629765887235,-1.46175407676761,-1.038434946653781,-0.3770680694146659,-0.16070426832741302
65,35 - 44 years old,3.0,It was a pretty fun exercise. I wonder if these product concepts are real.,unknown,4.0,2.0,out-of-ideas,2.0,242,SEEKER,18,0,3,243,on-demand,35.0,0.0,5.0,6.0,3.0,6.0,2.0,5.0,0.6112775402003421,0.6047097954437051,-1.432151770089051,-0.348194702197594,-0.051516734314045375,-0.020770238303697192
66,45 - 54 years old,2.0,no problems,m,4.0,2.0,out-of-ideas,3.0,245,SEEKER,9,0,6,251,on-idle,4.0,4.0,10.0,6.0,3.0,5.0,2.0,3.0,0.306567884609173,0.556265563721362,-1.945622770126089,-1.243862826655842,-0.11394718430169573,-0.025299519221537486
67,55 - 64 years old,2.0,None,unknown,3.0,1.0,out-of-ideas|before,2.0,246,AVOIDER,1,2,3,252,on-idle,16.0,5.0,5.0,6.0,6.0,6.0,3.0,1.0,0.623389847154986,-0.47525412047173604,-1.791322300614055,-1.157949299590883,-0.6338744312345226,-0.8338387076456367
68,25 - 34 years old,2.0,,m,5.0,3.0,before,2.0,247,UNDETERMINED,4,0,3,,,,,,5.0,4.0,5.0,5.0,4.0,,,,,,
69,45 - 54 years old,2.0,None. Thank you.,m,4.0,2.0,in-the-middle,2.0,248,SEEKER,10,0,5,253,baseline,0.0,1.0,12.0,4.0,2.0,3.0,2.0,3.0,1.244287872345396,1.193866096292813,-0.9742627135766391,-0.9103045789403261,0.14768530249914438,0.1765315352050679
70,55 - 64 years old,3.0,I love this tool - it's quite creative and it really feels like a brainstorm session.,f,5.0,1.0,out-of-ideas|before,1.0,249,UNDETERMINED,2,0,6,,,,,,6.0,1.0,5.0,2.0,4.0,,,,,,
71,35 - 44 years old,3.0,the task went smoothly. coming up with original ideas was more difficult on the second round because the inspirations were similar to ideas i came up with,m,4.0,2.0,out-of-ideas,1.0,256,SEEKER,14,1,4,257,on-demand,64.0,0.0,6.0,6.0,5.0,6.0,3.0,2.0,1.338565419657309,0.9127309427894951,-1.696510008873391,-0.116234943144046,-0.0018016305652160391,0.2209233844138795
72,18 - 24 years old,1.0,I tried to press shift enter to get another paragraph for my first idea and it just submitted the idea i thought it deleted so i rewrote the idea and submitted just to see that the first submitted.,m,5.0,2.0,before,1.0,255,UNDETERMINED,3,7,3,,,,,,7.0,1.0,6.0,2.0,6.0,,,,,,
73,25 - 34 years old,5.0,I enjoyed this hit and thought it was a great way of brain storming!!!,m,2.0,4.0,out-of-ideas|before,4.0,254,UNDETERMINED,2,0,8,,,,,,2.0,5.0,6.0,3.0,7.0,,,,,,
74,25 - 34 years old,3.0,I loved the hit brainstorming is what i am usually good at regardless if its tweeking something that has been basically fallen on deaf ears or a way to bring life to a solid subject ie whats a new fundraiser for the xyz facility? dont say car wash or bake sale etc,f,3.0,1.0,in-the-middle,1.0,258,UNDETERMINED,3,0,5,,,,,,5.0,5.0,6.0,4.0,1.0,,,,,,
75,55 - 64 years old,4.0,"I really didn't use the inspiration option, I just clicked on it to see what it would do.",m,5.0,4.0,before,4.0,23,UNMOTIVATED,1,1,2,,,,,,5.0,3.0,5.0,4.0,5.0,,,,,,
76,45 - 54 years old,4.0,,f,5.0,3.0,out-of-ideas|before,3.0,259,UNDETERMINED,2,0,4,,,,,,7.0,3.0,7.0,3.0,1.0,,,,,,
77,25 - 34 years old,1.0,,m,5.0,1.0,out-of-ideas,1.0,260,SEEKER,13,0,14,262,on-idle,9.0,0.0,17.0,6.0,6.0,6.0,2.0,3.0,0.9832485317400381,1.253317037922792,-0.855964577804273,-0.70166492441348,0.21002924205068974,0.26853204793610586
78,35 - 44 years old,3.0,,f,5.0,1.0,out-of-ideas,1.0,268,SEEKER,25,3,6,272,on-idle,6.0,3.0,6.0,6.0,1.0,7.0,1.0,3.0,0.6378713684799681,0.738581906211046,-0.42011196898019104,-0.21694672357913203,-0.05141638715902267,0.18649459826743484
79,25 - 34 years old,3.0,none,m,4.0,2.0,out-of-ideas,4.0,266,SEEKER,5,0,4,267,baseline,0.0,0.0,10.0,6.0,3.0,6.0,3.0,4.0,1.050182482267789,1.398256412397205,-0.227897381014136,-0.576960026699997,0.44045556027808186,0.44542542499395843
80,18 - 24 years old,2.0,,f,1.0,4.0,out-of-ideas|in-the-middle,4.0,269,SEEKER,13,0,7,270,on-demand,26.0,0.0,7.0,4.0,2.0,5.0,3.0,1.0,0.7411952682122821,1.146890632964395,-1.3542485066781471,-0.23249981964653102,-0.21247173446593431,0.07669997673472359
81,25 - 34 years old,2.0,,m,4.0,4.0,before,3.0,22,AVOIDER,1,0,9,24,on-demand,0.0,0.0,9.0,5.0,1.0,6.0,1.0,4.0,1.437040059824308,1.334142746338303,0.009531354804516001,-0.181269426073906,0.4206585001953922,0.2334261631692901
82,25 - 34 years old,4.0,Maybe provide a mock-up image of the technology to help give the person a better idea of it. Thank you!,f,5.0,2.0,out-of-ideas,2.0,273,SEEKER,14,0,10,274,baseline,0.0,0.0,17.0,6.0,4.0,5.0,2.0,3.0,0.9684483298241181,1.3050313070213662,-1.206597135744059,-1.247340599829187,-0.12695454104916237,0.01979159893029072
83,25 - 34 years old,1.0,,m,1.0,1.0,bored,1.0,276,UNMOTIVATED,1,4,2,,,,,,7.0,7.0,7.0,7.0,7.0,,,,,,
84,25 - 34 years old,2.0,"During the second phase, I assumed the technology had sound with the video but that might have been wrong to assume. I had ideas that did not involve sound so I hope that I still qualify for payment. Either way thank you for this opportunity and have a blessed day!",m,5.0,2.0,out-of-ideas|before|in-the-middle,1.0,278,SEEKER,6,0,3,279,on-demand,7.0,0.0,10.0,5.0,5.0,5.0,4.0,3.0,1.138064712695118,1.379713633549146,-0.681124771039301,-1.343916867655739,-0.02417477182946692,-0.11952986891745052
85,18 - 24 years old,3.0,I really enjoyed doing this HIT!,f,5.0,1.0,out-of-ideas|before,1.0,280,UNDETERMINED,2,0,3,,,,,,7.0,1.0,5.0,2.0,2.0,,,,,,
86,35 - 44 years old,2.0,"thank you very much. Very interesting and enjoyable study, I hope I gave at least a couple decent ideas.",m,5.0,3.0,in-the-middle,2.0,281,SEEKER,5,0,9,284,on-idle,0.0,0.0,12.0,6.0,3.0,5.0,3.0,3.0,1.020172698306121,0.9070128616698191,-1.409065869264496,-1.180357949688079,0.02304142425941727,0.12327343601027592
87,25 - 34 years old,2.0,,m,4.0,1.0,before,2.0,282,SEEKER,11,0,11,285,baseline,0.0,0.0,11.0,6.0,6.0,6.0,6.0,3.0,0.367910019564264,1.020335197992593,-1.8683479738293771,-1.604559634783407,-0.7719330994479431,-0.5531031648070127
88,45 - 54 years old,3.0,It was a difficult concept to come up with more than one idea,unknown,5.0,3.0,out-of-ideas,2.0,283,UNMOTIVATED,0,0,2,,,,,,5.0,2.0,6.0,3.0,6.0,,,,,,
89,35 - 44 years old,1.0,,f,5.0,1.0,out-of-ideas|before|in-the-middle,1.0,289,SEEKER,18,3,8,291,on-demand,22.0,1.0,13.0,7.0,4.0,7.0,4.0,3.0,1.010887938725952,0.8752812400571041,-1.110578247060332,-0.9800463773665621,-0.049850091338307916,-0.17100124957827484
90,55 - 64 years old,2.0,,f,5.0,3.0,in-the-middle,2.0,287,SEEKER,15,0,12,288,on-idle,0.0,0.0,25.0,6.0,1.0,5.0,2.0,3.0,0.732838334781822,0.814668543234067,-1.43085451501917,-1.290943631086056,-0.19936288661717408,-0.19498921311696715
91,45 - 54 years old,1.0,This was a very interesting survey!,f,5.0,1.0,out-of-ideas|in-the-middle,1.0,292,SEEKER,5,0,6,294,on-idle,0.0,0.0,6.0,7.0,1.0,7.0,1.0,4.0,0.5980506325754891,-0.058529260021231,-1.08294760601904,-1.069107608346231,-0.27401334747501116,-0.4453916376409637
92,25 - 34 years old,2.0,,m,2.0,1.0,before,2.0,293,UNDETERMINED,2,0,3,,,,,,2.0,1.0,5.0,3.0,6.0,,,,,,
93,25 - 34 years old,1.0,,f,5.0,1.0,out-of-ideas,1.0,295,SEEKER,10,0,9,296,baseline,0.0,10.0,7.0,5.0,3.0,7.0,5.0,2.0,0.091483993513784,-0.46387947855972905,-1.109747968912186,-1.586608864564984,-0.6257907505276253,-1.048974191887582
