"workerId";"60-ideaSubmitTimers";"60-inspirationRequestTimers";"120-ideaSubmitTimers";"120-inspirationRequestTimers";"180-ideaSubmitTimers";"180-inspirationRequestTimers";"240-ideaSubmitTimers";"240-inspirationRequestTimers";"300-ideaSubmitTimers";"300-inspirationRequestTimers";"360-ideaSubmitTimers";"360-inspirationRequestTimers";"420-ideaSubmitTimers";"420-inspirationRequestTimers";"480-ideaSubmitTimers";"480-inspirationRequestTimers";"540-ideaSubmitTimers";"540-inspirationRequestTimers";"600-ideaSubmitTimers";"600-inspirationRequestTimers";"660-ideaSubmitTimers";"660-inspirationRequestTimers";"720-ideaSubmitTimers";"720-inspirationRequestTimers";"780-ideaSubmitTimers";"780-inspirationRequestTimers";"840-ideaSubmitTimers";"840-inspirationRequestTimers";"900-ideaSubmitTimers";"900-inspirationRequestTimers"
"mturk:worker/ARHBT4K14I7U";0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"mturk:worker/A13GGKMPBDKWX6";0;1;0;1;0;1;1;2;1;2;2;3;2;3;3;4;4;5;5;6;5;6;6;7;6;7;6;7;7;8
"mturk:worker/A2531UD0IGT731";0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;3;3;3;3;3
"mturk:worker/A2G8UI423QZYJJ";0;0;0;0;0;0;1;1;1;2;1;2;1;2;1;2;1;2;2;3;2;3;2;3;2;3;3;7;3;7
"mturk:worker/ABNJUVNHFVINU";0;0;0;0;1;0;1;0;2;0;3;0;3;0;4;0;4;0;4;0;5;0;5;0;5;0;5;0;5;0
"mturk:worker/A3UV55HC87DO9C";0;0;0;0;0;0;0;0;0;1;1;2;2;3;2;3;3;4;3;4;4;5;4;5;5;6;6;7;6;7
"mturk:worker/A3RDH0U2H6JCBC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;2;0;2;0;2;0;2;0
"mturk:worker/AWKUOA7M4P8YI";0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;2;0;3;0;3;0;3;0;3;0
"mturk:worker/A8HSPSD88CUTS";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;2;0;2;0;2;0
"mturk:worker/A4IH4CO046EV3";0;0;0;0;0;0;0;0;1;0;1;0;2;0;2;0;2;0;3;0;3;0;3;0;3;0;3;0;3;0
"mturk:worker/A38EPBV0ED7Y47";0;0;0;0;0;0;1;0;1;0;2;0;2;0;3;0;3;0;3;0;3;0;3;0;4;0;4;0;4;0
"mturk:worker/A2LT6KC1X51FVW";0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0
"mturk:worker/A2J8IMRYEO6ZIM";0;0;0;0;0;0;0;0;1;0;1;0;2;0;2;0;2;0;3;0;3;0;4;0;4;0;4;0;4;0
"mturk:worker/A38VMTKS30TQZB";0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;2;0;2;0;2;0;2;0;3;0;3;0;3;0
"mturk:worker/A26I76BUCO0LAO";0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;5;5;5;5;5;5;5;5;6;6;6;6;7;7
"mturk:worker/A1M682B2WUSYJP";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;0;2;0;3;0;3;0;3;0;3;0
"mturk:worker/A2N2GFB33ZMYGF";0;0;1;0;1;0;1;0;2;0;3;0;3;0;4;0;4;0;5;0;7;0;7;0;7;0;8;0;8;0
"mturk:worker/A3W24IE6P9O302";0;0;0;0;1;0;1;0;2;0;2;0;2;0;2;0;2;0;3;0;3;0;3;0;4;0;4;0;4;0
"mturk:worker/A3TUJHF9LW3M8N";0;0;0;0;1;0;2;0;2;0;2;0;2;0;2;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0
"mturk:worker/A2SJC9VRBGNC58";0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;0;2;0;3;0;3;0;4;0;5;0;7;0;8;0
"mturk:worker/A38DXFI1TZA295";0;0;0;0;0;0;0;0;1;0;1;0;2;0;2;0;3;0;4;0;4;0;5;0;5;0;5;0;5;0
"mturk:worker/A2E5PZUD6W4OA1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"mturk:worker/AVBRJBJONL47I";0;0;0;0;1;0;1;0;2;0;2;0;2;0;3;0;3;0;3;0;3;0;4;0;4;0;4;0;5;0
"mturk:worker/A3BFMY5OX2WMUW";0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;0;2;0;2;0;2;0;3;0;3;0;3;0;3;0
